Altitude,Latitude,Loctime,Electron Density,Electron Temperature,Density
1.25E+03,-5.1E+01,-1.4E+02,7.29E+02,2.48E-02,1.7E+00
1.25E+03,-5.1E+01,-1.4E+02,8.9E+02,2.58E-02,3.3E+00
1.127E+03,-4.6E+01,-1.4E+02,9.52E+02,9.6E-03,1.29E+01
1.038E+03,-3.9E+01,-1.4E+02,6.95E+02,2.12E-02,1.59E+01
9.84E+02,-3.2E+01,-1.4E+02,6.4E+02,1.87E-02,1.34E+01
9.66E+02,-2.5E+01,-1.4E+02,5.81E+02,1.26E-02,1.22E+01
9.86E+02,-1.8E+01,-1.41E+02,1.023E+03,1.93E-02,1.14E+01
9.86E+02,-1.8E+01,-1.41E+02,9.9E+02,1.42E-02,8.5E+00
1.043E+03,-1E+01,-1.41E+02,7.36E+02,4.56E-02,5.7E+00
1.355E+03,-6.5E+01,-7.7E+01,nan,nan,3.9E+00
1.211E+03,-6.3E+01,-7.8E+01,nan,nan,1.82E+01
1.097E+03,-6E+01,-8E+01,nan,nan,1.41E+01
1.016E+03,-5.5E+01,-8.1E+01,nan,nan,1.39E+01
9.71E+02,-4.3E+01,-8.3E+01,nan,nan,1.23E+01
9.64E+02,-7E+00,-8.4E+01,nan,nan,1.2E+01
9.93E+02,5.4E+01,-8.6E+01,nan,nan,1.27E+01
1.06E+03,7.9E+01,-8.7E+01,nan,nan,9.6E+00
1.414E+03,-5.5E+01,-1.18E+02,4.75E+02,5.06E-02,8E-01
1.288E+03,-6.1E+01,-1.16E+02,5.79E+02,4.36E-02,1.1E+00
1.189E+03,-6.8E+01,-1.13E+02,7.19E+02,3.54E-02,2.5E+00
1.12E+03,-7.4E+01,-1.09E+02,7.57E+02,3.48E-02,3.1E+00
1.081E+03,-7.9E+01,-1.05E+02,1.035E+03,3.72E-02,5.1E+00
1.081E+03,-7.9E+01,-1.05E+02,1.316E+03,4.06E-02,6E+00
1.075E+03,-8.5E+01,-1E+02,1.411E+03,4.19E-02,5.5E+00
1.101E+03,-8.9E+01,-9.3E+01,1.387E+03,5.99E-02,3.2E+00
1.372E+03,-5E+01,1.05E+02,9.77E+02,5.97E-02,2.1E+00
1.24E+03,-6.3E+01,1.01E+02,1.255E+03,4.15E-02,6.6E+00
1.135E+03,-7.6E+01,9.7E+01,1.263E+03,2.96E-02,1.15E+01
1.059E+03,-8.7E+01,9.2E+01,1.269E+03,3.02E-02,1.02E+01
1.015E+03,-8.2E+01,8.7E+01,1.302E+03,2.87E-02,9.2E+00
1.015E+03,-8.2E+01,8.7E+01,1.684E+03,3.56E-02,1.17E+01
1.004E+03,-7.4E+01,8.1E+01,2.133E+03,nan,1.5E+01
1.025E+03,-6.8E+01,7.5E+01,2.467E+03,4.36E-02,1.42E+01
1.078E+03,-6.2E+01,6.9E+01,1.695E+03,3.66E-02,4.6E+00
1.241E+03,8.4E+01,-9.3E+01,nan,nan,1.26E+01
1.125E+03,8.9E+01,-8.5E+01,nan,nan,1.65E+01
1.037E+03,8.2E+01,-7.7E+01,nan,nan,1.34E+01
9.8E+02,7.5E+01,-6.9E+01,nan,nan,1.29E+01
9.54E+02,6.7E+01,-6.1E+01,nan,nan,1.51E+01
9.61E+02,6E+01,-5.4E+01,nan,nan,2.66E+01
9.61E+02,6E+01,-5.4E+01,nan,nan,2.49E+01
1.001E+03,5.4E+01,-4.8E+01,nan,nan,1.35E+01
